file,avg_bertscore,median_bertscore,min_bertscore,max_bertscore,model
translation_results_mt5_large_v1.csv,0.9049307753145694,0.9058382511138916,0.7835642695426941,0.9717260003089905,zero-shot
translation_results_llama_3.3_70B.csv,0.9509104713797569,0.9547494947910309,0.8155860900878906,1.0,zero-shot
translation_results_cohere_aya_8B.csv,0.9279770790040494,0.9302480220794678,0.8425525426864624,0.9999999403953552,zero-shot
translation_results_llama_405B.csv,0.9565922927856445,0.9604909718036652,0.8275855779647827,1.0,zero-shot
translation_results_t5_finetuned_2.csv,0.9146677099168301,0.9133735299110413,0.8381173610687256,1.0000001192092896,zero-shot
translation_results_t5_base.csv,0.8404546935856342,0.8418687880039215,0.7290993332862854,0.9405894875526428,zero-shot
translation_results_o1_mini.csv,0.9534789736568928,0.95687136054039,0.8386672735214233,1.0000001192092896,zero-shot
translation_results_mt5_large_v1_cleaned.csv,0.9049307753145694,0.9058382511138916,0.7835642695426941,0.9717260003089905,zero-shot
translation_results_gpt_4o.csv,0.9649391163885593,0.9687384963035583,0.8766026496887207,1.0000001192092896,zero-shot
translation_results_t5_finetuned.csv,0.8906355519592762,0.8887028992176056,0.8122333884239197,0.9617619514465332,zero-shot
translation_results_google_mt5_base.csv,0.7869568504393101,0.7845844328403473,0.7485067844390869,0.8889588713645935,zero-shot
translation_results_llama_3.1_8B.csv,0.9276772655546666,0.9358278214931488,0.7880874872207642,1.0000001192092896,zero-shot
translation_results_gpt_4o_mini.csv,0.9600152237713337,0.9645010530948639,0.8443533778190613,1.0000001192092896,zero-shot
translation_results_llama_3.2_1B.csv,0.8854761907458305,0.8878057897090912,0.803269624710083,0.9615194201469421,zero-shot
translation_results_gemma_4b_base.csv,0.9367664778232574,0.9395502507686615,0.8378399014472961,0.9999999403953552,zero-shot
translation_results_cohere_aya_32B.csv,0.9440710608661175,0.9481670260429382,0.8205684423446655,1.0,zero-shot
translation_results_gemini_2_flash_fine_tuned.csv,0.9669095058739186,0.9706949591636658,0.8710283637046814,1.0000001192092896,zero-shot
translation_results_gemma_9b_base.csv,0.943787445127964,0.948472410440445,0.8242189884185791,1.0,zero-shot
translation_results_gemini_2_flash_0_shot.csv,0.964072620421648,0.9686420261859894,0.8629234433174133,1.0,zero-shot
translation_results_gemini_2_flash_fine_tuned_many_shot.csv,0.9687600868940354,0.9722188711166382,0.8817969560623169,1.0000001192092896,many-shot
translation_results_gemini_2_flash_many_shot.csv,0.975885425657034,0.9787797033786774,0.8931565284729004,1.000000238418579,many-shot
translation_results_gemma_4b.csv,0.9565566720068455,0.9600698053836823,0.846652090549469,1.0000001192092896,sft-stage-1
translation_results_gemma_4b_tuned.csv,0.9624450622498989,0.9653485417366028,0.8777098655700684,1.0000001192092896,sft-stage-1
translation_results_google_mt5_base_finetuned_1.csv,0.9324948030710221,0.9377704858779907,0.8242833614349365,0.9921257495880127,sft-stage-1
translation_results_aya_32b_finetuned.csv,0.9497911520302296,0.9548822939395905,0.8596187233924866,1.0000001192092896,sft-stage-1
translation_results_aya_8b_finetuned.csv,0.9404241721332073,0.9441969394683838,0.8488814234733582,1.0,sft-stage-1
translation_results_aya_8b_finetuned_cot2.csv,0.948432520031929,0.951170802116394,0.8452189564704895,1.0,sft-stage-2
translation_results_aya_8b_finetuned_aug_2_new_2.csv,0.9499368393421173,0.953981876373291,0.8470689654350281,1.0000001192092896,sft-stage-2
translation_results_gemma_4b_tuned_cot_v2.csv,0.962590249478817,0.9672136008739471,0.8811607360839844,1.0000001192092896,sft-stage-2
translation_results_gemma_4b_tuned_cot_v3.csv,0.9617741814255715,0.9667536318302155,0.8526991009712219,1.0000001192092896,sft-stage-2
translation_results_aya_8b_finetuned_aug_2_new.csv,0.9471767599880695,0.9513330161571503,0.8093485236167908,1.0,sft-stage-2
translation_results_aya_8b_finetuned_aug_1.csv,0.9342170277237892,0.9387334883213043,0.8020268082618713,0.99339359998703,sft-stage-2
translation_results_aya_8b_finetuned_aug_2.csv,0.9340259853005409,0.938709020614624,0.832012951374054,0.9922358989715576,sft-stage-2
translation_results_aya_32b_finetuned_cot2.csv,0.9510355189442634,0.954613983631134,0.844267725944519,1.0,sft-stage-2
translation_results_aya_8b_finetuned_aug_1_new.csv,0.9428900982439518,0.9475321471691132,0.8520776033401489,0.9922358989715576,sft-stage-2
translation_results_aya_32b_finetuned_aug2.csv,0.9493548734486104,0.9546542763710022,0.8324922323226929,1.0,sft-stage-2
