file,corpus_bleu,corpus_chrf_score,corpus_ter_score
./zero-shot/translation_results_mt5_large_v1.csv,0.17563251240822234,0.39248102634038295,0.7213908924534396
./zero-shot/translation_results_llama_3.3_70B.csv,0.3956276698078195,0.6733914758628895,0.4190978576811283
./zero-shot/translation_results_cohere_aya_8B.csv,0.22242374434825643,0.5428674123430136,0.6028636021100227
./zero-shot/translation_results_llama_405B.csv,0.4495233490836049,0.7139226955306396,0.35342878673700073
./zero-shot/translation_results_t5_finetuned_2.csv,0.21504603584596743,0.4533260055198321,0.6150285283668856
./zero-shot/translation_results_t5_base.csv,0.03370783440933838,0.22033650284986345,0.9764237269889117
./zero-shot/translation_results_o1_mini.csv,0.3997732983900819,0.6894883213046206,0.3850791258477769
./zero-shot/translation_results_mt5_large_v1_cleaned.csv,0.15854504910946773,0.39322189229408655,0.7165464527936268
./zero-shot/translation_results_gpt_4o.csv,0.5020353226791127,0.751890407262707,0.2990634083324362
./zero-shot/translation_results_t5_finetuned.csv,0.11568889662417371,0.3625740144929146,0.721713855097427
./zero-shot/translation_results_google_mt5_base.csv,0.0007497583817915618,0.0529045304038234,0.9983851867800625
./zero-shot/translation_results_llama_3.1_8B.csv,0.28309623319878485,0.5752765689559958,0.5776725158789967
./zero-shot/translation_results_gpt_4o_mini.csv,0.46300557696992883,0.7290235822097741,0.33469695338572497
./zero-shot/translation_results_llama_3.2_1B.csv,0.09500293300664556,0.40263923838946797,0.7575627085800408
./zero-shot/translation_results_gemma_4b_base.csv,0.3051900917926702,0.6066310022100635,0.5069436968457315
./zero-shot/translation_results_cohere_aya_32B.csv,0.3382272163060717,0.6415585467880518,0.4681881795672301
./zero-shot/translation_results_gemini_2_flash_fine_tuned.csv,0.5423905313072711,0.7575161450486864,0.2898051458714609
./zero-shot/translation_results_gemma_9b_base.csv,0.35650194182510164,0.6441476364823134,0.44676499084939175
./zero-shot/translation_results_gemini_2_flash_0_shot.csv,0.4960062237818583,0.759172448389301,0.2964797071805361
./many-shot/translation_results_gemini_2_flash_fine_tuned_many_shot.csv,0.5456043081428247,0.7615224707055391,0.28442243513833565
./many-shot/translation_results_gemini_2_flash_many_shot.csv,0.6251326614266022,0.8107058499949479,0.2318871783830337
./sft-stage-1/translation_results_gemma_4b.csv,0.49205678245606016,0.7188102866851435,0.33835719668425024
./sft-stage-1/translation_results_gemma_4b_tuned.csv,0.5322185109334295,0.7417685713503278,0.29798686618581116
./sft-stage-1/translation_results_google_mt5_base_finetuned_1.csv,0.32531113634826186,0.5878769760837628,0.4776617504575304
./sft-stage-1/translation_results_aya_32b_finetuned.csv,0.45818027597438143,0.7161024528999376,0.38400258370115187
./sft-stage-1/translation_results_aya_8b_finetuned.csv,0.4165372680513479,0.66929268646638,0.42577241899020346
./sft-stage-2/translation_results_aya_8b_finetuned_cot2.csv,0.4167003391035773,0.6607350703555341,0.40919366993217776
./sft-stage-2/translation_results_aya_8b_finetuned_aug_2_new_2.csv,0.45489356117356133,0.693609314559841,0.3835719668425019
./sft-stage-2/translation_results_gemma_4b_tuned_cot_v2.csv,0.5267949104765557,0.7392816137240059,0.30057056733771126
./sft-stage-2/translation_results_gemma_4b_tuned_cot_v3.csv,0.5213668894386445,0.7361418117561531,0.3047690817095489
./sft-stage-2/translation_results_aya_8b_finetuned_aug_2_new.csv,0.4180942005815665,0.6773508217485222,0.45020992571859186
./sft-stage-2/translation_results_aya_8b_finetuned_aug_1.csv,0.35765214846958754,0.634620274586187,0.4879965550651308
./sft-stage-2/translation_results_aya_8b_finetuned_aug_2.csv,0.36452128804538314,0.6384070603775623,0.4823985359026806
./sft-stage-2/translation_results_aya_32b_finetuned_cot2.csv,0.4658621545569799,0.7176505196156991,0.3796964151146518
./sft-stage-2/translation_results_aya_8b_finetuned_aug_1_new.csv,0.4155900884748205,0.6797913479164154,0.4273872322101411
./sft-stage-2/translation_results_aya_32b_finetuned_aug2.csv,0.4560903476163216,0.7145616245706655,0.39100010765421467
./sft-stage-2/translation_results_aya_8b_finetuned_aug_2_new_v2.csv,0.44806171148355844,0.700154709065333,0.39605985574335234
./sft-stage-2/translation_results_aya_32b_finetuned_aug1.csv,0.47176195000751653,0.7218023583185755,0.36645494671116374
./sft-stage-2/translation_results_aya_8b_finetuned_aug_1_new_v2.csv,0.4514728534811747,0.6991432864876929,0.38755517278501456
./sft-stage-2/translation_results_aya_32b_finetuned_aug_2_new_v2.csv,0.4537579515781136,0.7031881989044139,0.38217246205188926
./sft-stage-2/translation_results_gemma_4b_aug_1_new.csv,0.5224296317574698,0.7383063710769755,0.30778339972009905
./sft-stage-2/translation_results_aya_8b_finetuned_cot.csv,0.42552123335165065,0.6752054659680679,0.41070082893745297
./sft-stage-2/translation_results_aya_32b_finetuned_cot.csv,0.4876021607314256,0.7254394016375272,0.33964904726020023
./sft-stage-2/translation_results_gemma_4b_tuned_cot.csv,0.5178241686308779,0.7346858946493195,0.30799870814942404
./sft-stage-2/translation_results_gemma_4b_aug_2.csv,0.5325309455817486,0.7414096766642637,0.3012164926256863
./sft-stage-2/translation_results_gemma_4b_aug_1.csv,0.48270685986634176,0.7073684644930042,0.34815373021853807
